eval_type,metric,horizon,series,value
time,lpips,1s,224 No Text,0.3105521500110626
time,lpips,1s,224 Text,0.3083740174770355
time,lpips,1s,128 No Text,0.2573727071285248
time,lpips,1s,128 Text,0.24657365679740906
time,lpips,2s,224 No Text,0.3415534496307373
time,lpips,2s,224 Text,0.33819451928138733
time,lpips,2s,128 No Text,0.27953943610191345
time,lpips,2s,128 Text,0.2695358991622925
time,lpips,4s,224 No Text,0.36985841393470764
time,lpips,4s,224 Text,0.3657650947570801
time,lpips,4s,128 No Text,0.30431124567985535
time,lpips,4s,128 Text,0.29237666726112366
time,lpips,8s,224 No Text,0.4030992090702057
time,lpips,8s,224 Text,0.4001934230327606
time,lpips,8s,128 No Text,0.3361944854259491
time,lpips,8s,128 Text,0.32738515734672546
time,lpips,16s,224 No Text,0.46318289637565613
time,lpips,16s,224 Text,0.4576801061630249
time,lpips,16s,128 No Text,0.40298837423324585
time,lpips,16s,128 Text,0.38733357191085815
time,dreamsim,1s,224 No Text,0.1389617621898651
time,dreamsim,1s,224 Text,0.13405008614063263
time,dreamsim,1s,128 No Text,0.17741717398166656
time,dreamsim,1s,128 Text,0.17096437513828278
time,dreamsim,2s,224 No Text,0.14989791810512543
time,dreamsim,2s,224 Text,0.14466948807239532
time,dreamsim,2s,128 No Text,0.18700826168060303
time,dreamsim,2s,128 Text,0.17973771691322327
time,dreamsim,4s,224 No Text,0.16149090230464935
time,dreamsim,4s,224 Text,0.15901166200637817
time,dreamsim,4s,128 No Text,0.19685803353786469
time,dreamsim,4s,128 Text,0.18870626389980316
time,dreamsim,8s,224 No Text,0.17843344807624817
time,dreamsim,8s,224 Text,0.1728106141090393
time,dreamsim,8s,128 No Text,0.21391844749450684
time,dreamsim,8s,128 Text,0.2063949853181839
time,dreamsim,16s,224 No Text,0.2286277711391449
time,dreamsim,16s,224 Text,0.22435526549816132
time,dreamsim,16s,128 No Text,0.263747900724411
time,dreamsim,16s,128 Text,0.24954962730407715
time,fid,1s,224 No Text,35.08497619628906
time,fid,1s,224 Text,33.9825439453125
time,fid,1s,128 No Text,32.12779235839844
time,fid,1s,128 Text,32.77372741699219
time,fid,2s,224 No Text,34.448089599609375
time,fid,2s,224 Text,33.79632568359375
time,fid,2s,128 No Text,31.997909545898438
time,fid,2s,128 Text,32.37384033203125
time,fid,4s,224 No Text,33.993408203125
time,fid,4s,224 Text,33.07463073730469
time,fid,4s,128 No Text,32.28648376464844
time,fid,4s,128 Text,33.41960144042969
