series,step,run_name,metric,horizon,value,source_path
128 No Text,5000,nwm_cdit_s_recon_128_0005000,dreamsim,1s,0.6918321251869202,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0005000/recon_time.json
128 No Text,5000,nwm_cdit_s_recon_128_0005000,dreamsim,2s,0.6961749792098999,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0005000/recon_time.json
128 No Text,5000,nwm_cdit_s_recon_128_0005000,dreamsim,4s,0.7007882595062256,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0005000/recon_time.json
128 No Text,5000,nwm_cdit_s_recon_128_0005000,dreamsim,8s,0.7057257890701294,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0005000/recon_time.json
128 No Text,5000,nwm_cdit_s_recon_128_0005000,dreamsim,16s,0.707247257232666,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0005000/recon_time.json
128 No Text,5000,nwm_cdit_s_recon_128_0005000,fid,1s,242.054443359375,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0005000/recon_time.json
128 No Text,5000,nwm_cdit_s_recon_128_0005000,fid,2s,243.5553741455078,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0005000/recon_time.json
128 No Text,5000,nwm_cdit_s_recon_128_0005000,fid,4s,244.5536651611328,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0005000/recon_time.json
128 No Text,5000,nwm_cdit_s_recon_128_0005000,fid,8s,251.09532165527344,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0005000/recon_time.json
128 No Text,5000,nwm_cdit_s_recon_128_0005000,fid,16s,251.20236206054688,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0005000/recon_time.json
128 No Text,5000,nwm_cdit_s_recon_128_0005000,lpips,1s,0.6230966448783875,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0005000/recon_time.json
128 No Text,5000,nwm_cdit_s_recon_128_0005000,lpips,2s,0.6229805946350098,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0005000/recon_time.json
128 No Text,5000,nwm_cdit_s_recon_128_0005000,lpips,4s,0.6212854981422424,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0005000/recon_time.json
128 No Text,5000,nwm_cdit_s_recon_128_0005000,lpips,8s,0.622977077960968,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0005000/recon_time.json
128 No Text,5000,nwm_cdit_s_recon_128_0005000,lpips,16s,0.624152660369873,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0005000/recon_time.json
128 No Text,10000,nwm_cdit_s_recon_128_0010000,dreamsim,1s,0.5334616899490356,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0010000/recon_time.json
128 No Text,10000,nwm_cdit_s_recon_128_0010000,dreamsim,2s,0.5359175205230713,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0010000/recon_time.json
128 No Text,10000,nwm_cdit_s_recon_128_0010000,dreamsim,4s,0.5241581797599792,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0010000/recon_time.json
128 No Text,10000,nwm_cdit_s_recon_128_0010000,dreamsim,8s,0.5191803574562073,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0010000/recon_time.json
128 No Text,10000,nwm_cdit_s_recon_128_0010000,dreamsim,16s,0.5378034114837646,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0010000/recon_time.json
128 No Text,10000,nwm_cdit_s_recon_128_0010000,fid,1s,161.81390380859375,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0010000/recon_time.json
128 No Text,10000,nwm_cdit_s_recon_128_0010000,fid,2s,156.58303833007812,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0010000/recon_time.json
128 No Text,10000,nwm_cdit_s_recon_128_0010000,fid,4s,147.41693115234375,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0010000/recon_time.json
128 No Text,10000,nwm_cdit_s_recon_128_0010000,fid,8s,148.16046142578125,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0010000/recon_time.json
128 No Text,10000,nwm_cdit_s_recon_128_0010000,fid,16s,145.0506591796875,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0010000/recon_time.json
128 No Text,10000,nwm_cdit_s_recon_128_0010000,lpips,1s,0.5388498306274414,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0010000/recon_time.json
