model,resolution,condition,source_csv,source_json,ate,rpe_trans,pos_error,yaw_error,time_s
CDiT-S,64,No text,artifacts/summaries/planning/text_vs_notext_64_s_n32/metrics.csv,artifacts/bulk/planning/recon64_s_notext_0030000_full_n32/nwm_cdit_s_recon_64/recon_CEM_repeat_N32_K5_RS1_rep1_OPT1.json,1.3730764406039413,0.4026615661256574,2.20486831665039,0.378206787109375,2354.156056880951
CDiT-S,64,Text dense,artifacts/summaries/planning/text_vs_notext_64_s_n32/metrics.csv,artifacts/bulk/planning/recon64_s_text_dense_0030000_full_n32/nwm_cdit_s_recon_64_text_dense/recon_CEM_repeat_N32_K5_RS1_rep1_OPT1.json,1.376772338083644,0.4006325489998774,2.174499053955078,0.3520270538330078,2369.591258764267
CDiT-S,128,No text,artifacts/summaries/planning/text_vs_notext_128_224_n32/metrics.csv,artifacts/bulk/planning/recon128_s_notext_0030000_full_n32/nwm_cdit_s_recon_128/recon_CEM_N32_K5_RS1_rep1_OPT1.json,1.280129258768862,0.3784521855354575,1.9891819763183596,0.3747653579711914,2670.2502286434174
CDiT-S,128,Text dense,artifacts/summaries/planning/text_vs_notext_128_224_n32/metrics.csv,artifacts/bulk/planning/recon128_s_text_dense_0030000_full_n32/nwm_cdit_s_recon_128_text_dense/recon_CEM_N32_K5_RS1_rep1_OPT1.json,1.3408161249327497,0.3785207030767584,2.016842041015625,0.3060818290710449,2697.7034952640533
CDiT-S,224,No text,artifacts/summaries/planning/text_vs_notext_128_224_n32/metrics.csv,artifacts/bulk/planning/recon224_s_notext_0100000_full_n32/nwm_cdit_s/recon_CEM_N32_K5_RS1_rep1_OPT1.json,1.1689531676476117,0.3573890273144708,1.75846435546875,0.3274038696289063,3614.000351905823
CDiT-S,224,Text dense,artifacts/summaries/planning/text_vs_notext_128_224_n32/metrics.csv,artifacts/bulk/planning/recon224_s_text_dense_0030000_full_n32/nwm_cdit_s_recon_raw_text_dense/recon_CEM_N32_K5_RS1_rep1_OPT1.json,1.247973731432856,0.3713260472318681,1.8796803283691408,0.3758993911743164,9209.427262544632
CDiT-B,64,No text,artifacts/summaries/planning/text_vs_notext_64_b_n32/metrics.csv,artifacts/bulk/planning/recon64_b_notext_0030000_full_n32/nwm_cdit_b_recon_64/recon_CEM_repeat_N32_K5_RS1_rep1_OPT1.json,1.3744981949094577,0.3938090664975429,2.145318908691406,0.353527603149414,3330.34690451622
CDiT-B,64,Text dense,artifacts/summaries/planning/text_vs_notext_64_b_n32/metrics.csv,artifacts/bulk/planning/recon64_b_text_dense_0030000_full_n32/nwm_cdit_b_recon_64_text_dense/recon_CEM_repeat_N32_K5_RS1_rep1_OPT1.json,1.353863903394646,0.3836235453358584,2.02881103515625,0.3053899383544922,3249.53386592865
CDiT-B,128,No text,artifacts/summaries/planning/text_vs_notext_128_224_b_n32/metrics.csv,artifacts/bulk/planning/recon128_b_notext_0030000_full_n32/nwm_cdit_b_recon_128/recon_CEM_repeat_N32_K5_RS1_rep1_OPT1.json,1.258628581888723,0.3653447168084349,1.8805503845214844,0.2889396095275879,4313.172393083572
CDiT-B,128,Text dense,artifacts/summaries/planning/text_vs_notext_128_224_b_n32/metrics.csv,artifacts/bulk/planning/recon128_b_text_dense_0030000_full_n32/nwm_cdit_b_recon_128_text_dense/recon_CEM_repeat_N32_K5_RS1_rep1_OPT1.json,1.2605052361333504,0.3583204212440876,1.8228025817871092,0.2499041557312011,4293.32005739212
CDiT-B,224,No text,artifacts/summaries/planning/text_vs_notext_128_224_b_n32/metrics.csv,artifacts/bulk/planning/recon224_b_notext_0100000_full_n32/nwm_cdit_b/recon_CEM_repeat_N32_K5_RS1_rep1_OPT1.json,1.1615142115728725,0.3554650330612275,1.718338165283203,0.3152193641662598,11418.21308708191
CDiT-B,224,Text dense,artifacts/summaries/planning/text_vs_notext_128_224_b_n32/metrics.csv,artifacts/bulk/planning/recon224_b_text_dense_0030000_full_n32/nwm_cdit_b_recon_raw_text_dense/recon_CEM_repeat_N32_K5_RS1_rep1_OPT1.json,1.2607121938919883,0.354133783718643,1.7953677368164065,0.2347957420349121,7293.935916423798
