suite,run,model_size,resolution,condition,series,checkpoint,checkpoint_step,eval_type,metric,horizon,horizon_s,value,source_path
eval_b_scand_128,nwm_cdit_b_recon_128_0005000,B,128,No Text,CDiT-B 128px No Text,0005000,5000,time,lpips,1s,1,0.5995652079582214,artifacts/summaries/eval_scand/eval_b_scand_128/nwm_cdit_b_recon_128_0005000/scand_time.json
eval_b_scand_128,nwm_cdit_b_recon_128_0005000,B,128,No Text,CDiT-B 128px No Text,0005000,5000,time,dreamsim,1s,1,0.7060868740081787,artifacts/summaries/eval_scand/eval_b_scand_128/nwm_cdit_b_recon_128_0005000/scand_time.json
eval_b_scand_128,nwm_cdit_b_recon_128_0005000,B,128,No Text,CDiT-B 128px No Text,0005000,5000,time,lpips,2s,2,0.6067829728126526,artifacts/summaries/eval_scand/eval_b_scand_128/nwm_cdit_b_recon_128_0005000/scand_time.json
eval_b_scand_128,nwm_cdit_b_recon_128_0005000,B,128,No Text,CDiT-B 128px No Text,0005000,5000,time,dreamsim,2s,2,0.7134180665016174,artifacts/summaries/eval_scand/eval_b_scand_128/nwm_cdit_b_recon_128_0005000/scand_time.json
eval_b_scand_128,nwm_cdit_b_recon_128_0005000,B,128,No Text,CDiT-B 128px No Text,0005000,5000,time,lpips,4s,4,0.6073359251022339,artifacts/summaries/eval_scand/eval_b_scand_128/nwm_cdit_b_recon_128_0005000/scand_time.json
eval_b_scand_128,nwm_cdit_b_recon_128_0005000,B,128,No Text,CDiT-B 128px No Text,0005000,5000,time,dreamsim,4s,4,0.7137323617935181,artifacts/summaries/eval_scand/eval_b_scand_128/nwm_cdit_b_recon_128_0005000/scand_time.json
eval_b_scand_128,nwm_cdit_b_recon_128_0005000,B,128,No Text,CDiT-B 128px No Text,0005000,5000,time,lpips,8s,8,0.6072494387626648,artifacts/summaries/eval_scand/eval_b_scand_128/nwm_cdit_b_recon_128_0005000/scand_time.json
eval_b_scand_128,nwm_cdit_b_recon_128_0005000,B,128,No Text,CDiT-B 128px No Text,0005000,5000,time,dreamsim,8s,8,0.7184932827949524,artifacts/summaries/eval_scand/eval_b_scand_128/nwm_cdit_b_recon_128_0005000/scand_time.json
eval_b_scand_128,nwm_cdit_b_recon_128_0005000,B,128,No Text,CDiT-B 128px No Text,0005000,5000,time,lpips,16s,16,0.6089889407157898,artifacts/summaries/eval_scand/eval_b_scand_128/nwm_cdit_b_recon_128_0005000/scand_time.json
eval_b_scand_128,nwm_cdit_b_recon_128_0005000,B,128,No Text,CDiT-B 128px No Text,0005000,5000,time,dreamsim,16s,16,0.7197049260139465,artifacts/summaries/eval_scand/eval_b_scand_128/nwm_cdit_b_recon_128_0005000/scand_time.json
eval_b_scand_128,nwm_cdit_b_recon_128_0005000,B,128,No Text,CDiT-B 128px No Text,0005000,5000,time,fid,1s,1,221.38232421875,artifacts/summaries/eval_scand/eval_b_scand_128/nwm_cdit_b_recon_128_0005000/scand_time.json
eval_b_scand_128,nwm_cdit_b_recon_128_0005000,B,128,No Text,CDiT-B 128px No Text,0005000,5000,time,fid,2s,2,226.3715362548828,artifacts/summaries/eval_scand/eval_b_scand_128/nwm_cdit_b_recon_128_0005000/scand_time.json
eval_b_scand_128,nwm_cdit_b_recon_128_0005000,B,128,No Text,CDiT-B 128px No Text,0005000,5000,time,fid,4s,4,227.7435302734375,artifacts/summaries/eval_scand/eval_b_scand_128/nwm_cdit_b_recon_128_0005000/scand_time.json
eval_b_scand_128,nwm_cdit_b_recon_128_0005000,B,128,No Text,CDiT-B 128px No Text,0005000,5000,time,fid,8s,8,233.1382293701172,artifacts/summaries/eval_scand/eval_b_scand_128/nwm_cdit_b_recon_128_0005000/scand_time.json
eval_b_scand_128,nwm_cdit_b_recon_128_0005000,B,128,No Text,CDiT-B 128px No Text,0005000,5000,time,fid,16s,16,233.68008422851562,artifacts/summaries/eval_scand/eval_b_scand_128/nwm_cdit_b_recon_128_0005000/scand_time.json
eval_b_scand_128,nwm_cdit_b_recon_128_0010000,B,128,No Text,CDiT-B 128px No Text,0010000,10000,time,lpips,1s,1,0.5970186591148376,artifacts/summaries/eval_scand/eval_b_scand_128/nwm_cdit_b_recon_128_0010000/scand_time.json
eval_b_scand_128,nwm_cdit_b_recon_128_0010000,B,128,No Text,CDiT-B 128px No Text,0010000,10000,time,dreamsim,1s,1,0.6443808078765869,artifacts/summaries/eval_scand/eval_b_scand_128/nwm_cdit_b_recon_128_0010000/scand_time.json
eval_b_scand_128,nwm_cdit_b_recon_128_0010000,B,128,No Text,CDiT-B 128px No Text,0010000,10000,time,lpips,2s,2,0.6030075550079346,artifacts/summaries/eval_scand/eval_b_scand_128/nwm_cdit_b_recon_128_0010000/scand_time.json
eval_b_scand_128,nwm_cdit_b_recon_128_0010000,B,128,No Text,CDiT-B 128px No Text,0010000,10000,time,dreamsim,2s,2,0.6519517302513123,artifacts/summaries/eval_scand/eval_b_scand_128/nwm_cdit_b_recon_128_0010000/scand_time.json
eval_b_scand_128,nwm_cdit_b_recon_128_0010000,B,128,No Text,CDiT-B 128px No Text,0010000,10000,time,lpips,4s,4,0.609241783618927,artifacts/summaries/eval_scand/eval_b_scand_128/nwm_cdit_b_recon_128_0010000/scand_time.json
