suite,run,model_size,resolution,condition,series,checkpoint,checkpoint_step,eval_type,metric,horizon,horizon_s,value,source_path
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0005000,B,128,Text,CDiT-B 128px Text,0005000,5000,time,lpips,1s,1,0.560774028301239,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0005000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0005000,B,128,Text,CDiT-B 128px Text,0005000,5000,time,dreamsim,1s,1,0.584634006023407,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0005000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0005000,B,128,Text,CDiT-B 128px Text,0005000,5000,time,lpips,2s,2,0.572113573551178,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0005000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0005000,B,128,Text,CDiT-B 128px Text,0005000,5000,time,dreamsim,2s,2,0.5947707295417786,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0005000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0005000,B,128,Text,CDiT-B 128px Text,0005000,5000,time,lpips,4s,4,0.5852651596069336,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0005000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0005000,B,128,Text,CDiT-B 128px Text,0005000,5000,time,dreamsim,4s,4,0.6021639704704285,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0005000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0005000,B,128,Text,CDiT-B 128px Text,0005000,5000,time,lpips,8s,8,0.6016190052032471,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0005000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0005000,B,128,Text,CDiT-B 128px Text,0005000,5000,time,dreamsim,8s,8,0.6166349649429321,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0005000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0005000,B,128,Text,CDiT-B 128px Text,0005000,5000,time,lpips,16s,16,0.6165661215782166,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0005000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0005000,B,128,Text,CDiT-B 128px Text,0005000,5000,time,dreamsim,16s,16,0.6311504244804382,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0005000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0005000,B,128,Text,CDiT-B 128px Text,0005000,5000,time,fid,1s,1,157.78146362304688,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0005000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0005000,B,128,Text,CDiT-B 128px Text,0005000,5000,time,fid,2s,2,156.73165893554688,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0005000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0005000,B,128,Text,CDiT-B 128px Text,0005000,5000,time,fid,4s,4,162.2161407470703,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0005000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0005000,B,128,Text,CDiT-B 128px Text,0005000,5000,time,fid,8s,8,158.42535400390625,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0005000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0005000,B,128,Text,CDiT-B 128px Text,0005000,5000,time,fid,16s,16,160.52481079101562,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0005000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0010000,B,128,Text,CDiT-B 128px Text,0010000,10000,time,lpips,1s,1,0.529068648815155,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0010000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0010000,B,128,Text,CDiT-B 128px Text,0010000,10000,time,dreamsim,1s,1,0.5625784993171692,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0010000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0010000,B,128,Text,CDiT-B 128px Text,0010000,10000,time,lpips,2s,2,0.5467543005943298,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0010000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0010000,B,128,Text,CDiT-B 128px Text,0010000,10000,time,dreamsim,2s,2,0.5727359652519226,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0010000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0010000,B,128,Text,CDiT-B 128px Text,0010000,10000,time,lpips,4s,4,0.5722797513008118,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0010000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0010000,B,128,Text,CDiT-B 128px Text,0010000,10000,time,dreamsim,4s,4,0.5888497829437256,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0010000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0010000,B,128,Text,CDiT-B 128px Text,0010000,10000,time,lpips,8s,8,0.5946161150932312,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0010000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0010000,B,128,Text,CDiT-B 128px Text,0010000,10000,time,dreamsim,8s,8,0.6030201315879822,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0010000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0010000,B,128,Text,CDiT-B 128px Text,0010000,10000,time,lpips,16s,16,0.6148297786712646,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0010000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0010000,B,128,Text,CDiT-B 128px Text,0010000,10000,time,dreamsim,16s,16,0.6228002905845642,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0010000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0010000,B,128,Text,CDiT-B 128px Text,0010000,10000,time,fid,1s,1,172.7557373046875,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0010000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0010000,B,128,Text,CDiT-B 128px Text,0010000,10000,time,fid,2s,2,173.585205078125,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0010000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0010000,B,128,Text,CDiT-B 128px Text,0010000,10000,time,fid,4s,4,171.0357666015625,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0010000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0010000,B,128,Text,CDiT-B 128px Text,0010000,10000,time,fid,8s,8,171.30055236816406,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0010000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0010000,B,128,Text,CDiT-B 128px Text,0010000,10000,time,fid,16s,16,176.0532989501953,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0010000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0015000,B,128,Text,CDiT-B 128px Text,0015000,15000,time,lpips,1s,1,0.5148682594299316,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0015000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0015000,B,128,Text,CDiT-B 128px Text,0015000,15000,time,dreamsim,1s,1,0.5550403594970703,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0015000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0015000,B,128,Text,CDiT-B 128px Text,0015000,15000,time,lpips,2s,2,0.5379565954208374,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0015000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0015000,B,128,Text,CDiT-B 128px Text,0015000,15000,time,dreamsim,2s,2,0.5666269063949585,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0015000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0015000,B,128,Text,CDiT-B 128px Text,0015000,15000,time,lpips,4s,4,0.5648135542869568,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0015000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0015000,B,128,Text,CDiT-B 128px Text,0015000,15000,time,dreamsim,4s,4,0.5802707076072693,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0015000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0015000,B,128,Text,CDiT-B 128px Text,0015000,15000,time,lpips,8s,8,0.5910554528236389,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0015000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0015000,B,128,Text,CDiT-B 128px Text,0015000,15000,time,dreamsim,8s,8,0.5989019870758057,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0015000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0015000,B,128,Text,CDiT-B 128px Text,0015000,15000,time,lpips,16s,16,0.6122606992721558,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0015000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0015000,B,128,Text,CDiT-B 128px Text,0015000,15000,time,dreamsim,16s,16,0.6169013381004333,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0015000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0015000,B,128,Text,CDiT-B 128px Text,0015000,15000,time,fid,1s,1,184.0628662109375,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0015000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0015000,B,128,Text,CDiT-B 128px Text,0015000,15000,time,fid,2s,2,177.06488037109375,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0015000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0015000,B,128,Text,CDiT-B 128px Text,0015000,15000,time,fid,4s,4,176.60931396484375,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0015000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0015000,B,128,Text,CDiT-B 128px Text,0015000,15000,time,fid,8s,8,179.66119384765625,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0015000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0015000,B,128,Text,CDiT-B 128px Text,0015000,15000,time,fid,16s,16,181.33766174316406,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0015000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0020000,B,128,Text,CDiT-B 128px Text,0020000,20000,time,lpips,1s,1,0.5076001286506653,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0020000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0020000,B,128,Text,CDiT-B 128px Text,0020000,20000,time,dreamsim,1s,1,0.5543382167816162,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0020000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0020000,B,128,Text,CDiT-B 128px Text,0020000,20000,time,lpips,2s,2,0.5317222476005554,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0020000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0020000,B,128,Text,CDiT-B 128px Text,0020000,20000,time,dreamsim,2s,2,0.5659405589103699,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0020000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0020000,B,128,Text,CDiT-B 128px Text,0020000,20000,time,lpips,4s,4,0.5614988803863525,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0020000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0020000,B,128,Text,CDiT-B 128px Text,0020000,20000,time,dreamsim,4s,4,0.5798856616020203,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0020000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0020000,B,128,Text,CDiT-B 128px Text,0020000,20000,time,lpips,8s,8,0.5920276641845703,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0020000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0020000,B,128,Text,CDiT-B 128px Text,0020000,20000,time,dreamsim,8s,8,0.5985335111618042,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0020000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0020000,B,128,Text,CDiT-B 128px Text,0020000,20000,time,lpips,16s,16,0.6129636168479919,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0020000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0020000,B,128,Text,CDiT-B 128px Text,0020000,20000,time,dreamsim,16s,16,0.6192144155502319,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0020000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0020000,B,128,Text,CDiT-B 128px Text,0020000,20000,time,fid,1s,1,177.77145385742188,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0020000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0020000,B,128,Text,CDiT-B 128px Text,0020000,20000,time,fid,2s,2,181.23519897460938,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0020000/scand_time.json
