suite,experiment,checkpoint,model_size,resolution,condition,eval_split,action_sampler,num_samples,num_repeat_eval,topk,opt_steps,max_eval_samples,ate,rpe_trans,pos_error,yaw_error,total_time,source_path
scand128_b_text_dense_0030000_full_n120_rep3,nwm_cdit_b_recon_128_text_dense,0030000,B,128,Text,full,repeat,120,3,5,1,,1.22525313506813,0.3166400951905351,1.9517204284667968,0.25957403182983396,26651.457639455795,artifacts/bulk/planning_scand_text/scand128_b_text_dense_0030000_full_n120_rep3/nwm_cdit_b_recon_128_text_dense/scand_CEM_repeat_N120_K5_RS1_rep3_OPT1.json
scand128_b_text_dense_0030000_full_n32,nwm_cdit_b_recon_128_text_dense,0030000,B,128,Text,full,repeat,32,1,5,1,,1.2278056689744985,0.32194839343088455,1.9652186584472657,0.36074817657470704,12468.52434515953,artifacts/bulk/planning_scand_text/scand128_b_text_dense_0030000_full_n32/nwm_cdit_b_recon_128_text_dense/scand_CEM_repeat_N32_K5_RS1_rep1_OPT1.json
scand128_b_text_dense_0030000_smoke_n120_rep3_ada,nwm_cdit_b_recon_128_text_dense,0030000,B,128,Text,smoke,repeat,120,3,5,1,10,0.7401750595090208,0.23427279382602745,1.0970541000366212,0.570923900604248,3969.00190782547,artifacts/bulk/planning_scand_text/scand128_b_text_dense_0030000_smoke_n120_rep3_ada/nwm_cdit_b_recon_128_text_dense/scand_CEM_repeat_N120_K5_RS1_rep3_OPT1.json
scand128_s_text_dense_0030000_full_n32,nwm_cdit_s_recon_128_text_dense,0030000,S,128,Text,full,sequence,32,1,5,1,,1.0642562714332615,0.35046422932336635,1.6790390014648438,0.4539474868774414,7372.281347513199,artifacts/bulk/planning_scand_text/scand128_s_text_dense_0030000_full_n32/nwm_cdit_s_recon_128_text_dense/scand_CEM_N32_K5_RS1_rep1_OPT1.json
scand128_text_dense_0030000,nwm_cdit_s_recon_128_text_dense,0030000,S,128,Text,full,sequence,32,1,5,1,10,0.9421050728081605,0.3123109059252692,1.397708034515381,0.592672872543335,265.55257868766785,artifacts/bulk/planning_scand_text/scand128_text_dense_0030000/nwm_cdit_s_recon_128_text_dense/scand_CEM_N32_K5_RS1_rep1_OPT1.json
scand224_b_text_dense_0030000_full_n120_rep3,nwm_cdit_b_recon_raw_text_dense,0030000,B,224,Text,full,repeat,120,3,5,1,,1.1969073877457814,0.3138597236659972,1.9099070739746093,0.23440494537353515,52200.64916276932,artifacts/bulk/planning_scand_text/scand224_b_text_dense_0030000_full_n120_rep3/nwm_cdit_b_recon_raw_text_dense/scand_CEM_repeat_N120_K5_RS1_rep3_OPT1.json
scand224_b_text_dense_0030000_full_n32,nwm_cdit_b_recon_raw_text_dense,0030000,B,224,Text,full,repeat,32,1,5,1,,1.1944719723507016,0.3113106930492879,1.912100830078125,0.31088665008544925,11546.67575788498,artifacts/bulk/planning_scand_text/scand224_b_text_dense_0030000_full_n32/nwm_cdit_b_recon_raw_text_dense/scand_CEM_repeat_N32_K5_RS1_rep1_OPT1.json
scand224_s_text_dense_0030000_full_n32,nwm_cdit_s_recon_raw_text_dense,0030000,S,224,Text,full,sequence,32,1,5,1,,1.1432946212447503,0.3524641753835633,1.7733834838867188,0.5234821701049804,5066.8713002204895,artifacts/bulk/planning_scand_text/scand224_s_text_dense_0030000_full_n32/nwm_cdit_s_recon_raw_text_dense/scand_CEM_N32_K5_RS1_rep1_OPT1.json
scand64_b_text_dense_0030000_full_n32,nwm_cdit_b_recon_64_text_dense,0030000,B,64,Text,full,repeat,32,1,5,1,,1.3368247966930722,0.32909013729112485,2.0865432739257814,0.40173988342285155,3293.462730884552,artifacts/bulk/planning_scand_text/scand64_b_text_dense_0030000_full_n32/nwm_cdit_b_recon_64_text_dense/scand_CEM_repeat_N32_K5_RS1_rep1_OPT1.json
scand64_s_text_dense_0030000_full_n32,nwm_cdit_s_recon_64_text_dense,0030000,S,64,Text,full,repeat,32,1,5,1,,1.3709551703356337,0.34197176832773374,2.1964723205566408,0.3878916168212891,2346.588163137436,artifacts/bulk/planning_scand_text/scand64_s_text_dense_0030000_full_n32/nwm_cdit_s_recon_64_text_dense/scand_CEM_repeat_N32_K5_RS1_rep1_OPT1.json
