eval_type,metric,horizon,series,value
time,lpips,1s,No Text,0.2573727071285248
time,lpips,1s,Text,0.24657365679740906
time,lpips,2s,No Text,0.27953943610191345
time,lpips,2s,Text,0.2695358991622925
time,lpips,4s,No Text,0.30431124567985535
time,lpips,4s,Text,0.29237666726112366
time,lpips,8s,No Text,0.3361944854259491
time,lpips,8s,Text,0.32738515734672546
time,lpips,16s,No Text,0.40298837423324585
time,lpips,16s,Text,0.38733357191085815
time,dreamsim,1s,No Text,0.17741717398166656
time,dreamsim,1s,Text,0.17096437513828278
time,dreamsim,2s,No Text,0.18700826168060303
time,dreamsim,2s,Text,0.17973771691322327
time,dreamsim,4s,No Text,0.19685803353786469
time,dreamsim,4s,Text,0.18870626389980316
time,dreamsim,8s,No Text,0.21391844749450684
time,dreamsim,8s,Text,0.2063949853181839
time,dreamsim,16s,No Text,0.263747900724411
time,dreamsim,16s,Text,0.24954962730407715
time,fid,1s,No Text,32.12779235839844
time,fid,1s,Text,32.77372741699219
time,fid,2s,No Text,31.997909545898438
time,fid,2s,Text,32.37384033203125
time,fid,4s,No Text,32.28648376464844
time,fid,4s,Text,33.41960144042969
time,fid,8s,No Text,32.16278076171875
time,fid,8s,Text,31.172195434570312
time,fid,16s,No Text,38.75679016113281
time,fid,16s,Text,36.69294738769531
rollout_1fps,lpips,1s,No Text,0.25715747475624084
rollout_1fps,lpips,1s,Text,0.24769556522369385
rollout_1fps,lpips,2s,No Text,0.2992666959762573
rollout_1fps,lpips,2s,Text,0.2753618359565735
rollout_1fps,lpips,4s,No Text,0.344687819480896
rollout_1fps,lpips,4s,Text,0.3271636366844177
rollout_1fps,lpips,8s,No Text,0.4014433026313782
rollout_1fps,lpips,8s,Text,0.39145731925964355
rollout_1fps,lpips,16s,No Text,0.4698563516139984
rollout_1fps,lpips,16s,Text,0.47114643454551697
rollout_1fps,dreamsim,1s,No Text,0.17759202420711517
rollout_1fps,dreamsim,1s,Text,0.1699213683605194
rollout_1fps,dreamsim,2s,No Text,0.19449058175086975
rollout_1fps,dreamsim,2s,Text,0.17926949262619019
rollout_1fps,dreamsim,4s,No Text,0.2234880030155182
rollout_1fps,dreamsim,4s,Text,0.20456628501415253
rollout_1fps,dreamsim,8s,No Text,0.2714601159095764
rollout_1fps,dreamsim,8s,Text,0.24600672721862793
rollout_1fps,dreamsim,16s,No Text,0.34783193469047546
rollout_1fps,dreamsim,16s,Text,0.3353710174560547
rollout_1fps,fid,1s,No Text,60.48533630371094
rollout_1fps,fid,1s,Text,59.106964111328125
rollout_1fps,fid,2s,No Text,62.0150146484375
rollout_1fps,fid,2s,Text,60.231719970703125
rollout_1fps,fid,4s,No Text,62.445648193359375
rollout_1fps,fid,4s,Text,60.753082275390625
rollout_1fps,fid,8s,No Text,65.972900390625
rollout_1fps,fid,8s,Text,64.33650207519531
rollout_1fps,fid,16s,No Text,73.85600280761719
rollout_1fps,fid,16s,Text,75.80625915527344
rollout_4fps,lpips,1s,No Text,0.2762524485588074
rollout_4fps,lpips,1s,Text,0.26545339822769165
rollout_4fps,lpips,2s,No Text,0.3223613202571869
rollout_4fps,lpips,2s,Text,0.2971075177192688
rollout_4fps,lpips,4s,No Text,0.3671961724758148
rollout_4fps,lpips,4s,Text,0.34529122710227966
rollout_4fps,lpips,8s,No Text,0.43063884973526
rollout_4fps,lpips,8s,Text,0.4140462279319763
rollout_4fps,lpips,16s,No Text,0.47851619124412537
rollout_4fps,lpips,16s,Text,0.47173815965652466
rollout_4fps,dreamsim,1s,No Text,0.18819689750671387
rollout_4fps,dreamsim,1s,Text,0.1766587495803833
rollout_4fps,dreamsim,2s,No Text,0.20501387119293213
rollout_4fps,dreamsim,2s,Text,0.19334428012371063
rollout_4fps,dreamsim,4s,No Text,0.23051247000694275
rollout_4fps,dreamsim,4s,Text,0.2124323695898056
rollout_4fps,dreamsim,8s,No Text,0.2833166718482971
rollout_4fps,dreamsim,8s,Text,0.26844245195388794
rollout_4fps,dreamsim,16s,No Text,0.3352549970149994
rollout_4fps,dreamsim,16s,Text,0.330593079328537
rollout_4fps,fid,1s,No Text,61.50178527832031
rollout_4fps,fid,1s,Text,59.23713684082031
rollout_4fps,fid,2s,No Text,63.069549560546875
rollout_4fps,fid,2s,Text,61.01612854003906
rollout_4fps,fid,4s,No Text,64.28822326660156
rollout_4fps,fid,4s,Text,62.6378173828125
rollout_4fps,fid,8s,No Text,69.19497680664062
rollout_4fps,fid,8s,Text,69.22665405273438
rollout_4fps,fid,16s,No Text,72.48797607421875
rollout_4fps,fid,16s,Text,72.90086364746094
